SAP Community Tags;;;;;;;;;;;
"And Associated ""Tag Pages""";;;;;;;;;;;
;;;;;;;;;;;
Tag Names;;;;;;;;Allowed Tagging;Term ID;Associated Tag Page (Click on a link to open the page and follow the tag);
;;SAP Portal Content Management By OpenText;;;;;(level 2);Displayed, but not selectable;73554900100700001106;N/A;
;;;SAP Portal Content Management by OpenText;;;;(level 3);Primary and secondary;01200314690800003097;https://go.sap.com/community/tag.html?id=01200314690800003097;
;;SAP Portal Site Management By OpenText;;;;;(level 2);Displayed, but not selectable;73554900100700001107;N/A;
;;;SAP Portal Site Management By OpenText;;;;(level 3);Primary and secondary;01200314690800003098;https://go.sap.com/community/tag.html?id=01200314690800003098;
;;SAP StreamWork;;;;;(level 2);Displayed, but not selectable;73554900100700001194;N/A;
;;;enterprise agent for SAP StreamWork;;;;(level 3);Primary and secondary;01200615320800002447;https://go.sap.com/community/tag.html?id=01200615320800002447;
;;;SAP StreamWork;;;;(level 3);Primary and secondary;01200314690800001340;https://go.sap.com/community/tag.html?id=01200314690800001340;
;;;SAP StreamWork Brainstorming;;;;(level 3);Primary and secondary;67838200100800004012;https://go.sap.com/community/tag.html?id=67838200100800004012;
;;;SAP StreamWork Feed Updates;;;;(level 3);Primary and secondary;67838200100800004013;https://go.sap.com/community/tag.html?id=67838200100800004013;
;;;SAP StreamWork, mobile version;;;;(level 3);Primary and secondary;01200615320800003096;https://go.sap.com/community/tag.html?id=01200615320800003096;
;;Adobe Marketing Solutions from SAP;;;;;(level 2);Displayed, but not selectable;73554900100700000650;N/A;
;;;Adobe Social from SAP;;;;(level 3);Primary and secondary;67838200100800006928;https://go.sap.com/community/tag.html?id=67838200100800006928;
;;Care Circles;;;;;(level 2);Displayed, but not selectable;73554900100700000683;N/A;
;;;Care Circles;;;;(level 3);Primary and secondary;67837800100800006227;N/A;
;;;Care Circles for iPad;;;;(level 3);Primary and secondary;67837800100800006228;N/A;
;;citizen registration;;;;;(level 2);Displayed, but not selectable;73554900100700000687;N/A;
;;;citizen registration;;;;(level 3);Primary and secondary;01200615320800001867;https://go.sap.com/community/tag.html?id=01200615320800001867;
;;My Runway;;;;;(level 2);Displayed, but not selectable;73554900100700000735;N/A;
;;;My Runway;;;;(level 3);Primary and secondary;67837800100800005638;https://go.sap.com/community/tag.html?id=67837800100800005638;
;;;My Runway for Android;;;;(level 3);Primary and secondary;67838200100800006073;https://go.sap.com/community/tag.html?id=67838200100800006073;
;;;My Runway for iOS;;;;(level 3);Primary and secondary;67838200100800005417;https://go.sap.com/community/tag.html?id=67838200100800005417;
;;online application submission management;;;;;(level 2);Displayed, but not selectable;73554900100700000737;N/A;
;;;online application submission management;;;;(level 3);Primary and secondary;01200314690800001320;https://go.sap.com/community/tag.html?id=01200314690800001320;
;;pre-determined pricing engine;;;;;(level 2);Displayed, but not selectable;73554900100700000746;N/A;
;;;pre-determined pricing engine;;;;(level 3);Primary and secondary;67838200100800004731;https://go.sap.com/community/tag.html?id=67838200100800004731;
;;prepayment for utilities;;;;;(level 2);Displayed, but not selectable;73554900100700000747;N/A;
;;;prepayment for utilities;;;;(level 3);Primary and secondary;67837800100800006931;https://go.sap.com/community/tag.html?id=67837800100800006931;
;;"project ""Magellan""";;;;;(level 2);Displayed, but not selectable;73554900100700001327;N/A;
;;;"project ""Magellan""";;;;(level 3);Primary and secondary;01200314690800002845;https://go.sap.com/community/tag.html?id=01200314690800002845;
;;retail account origin for banking;;;;;(level 2);Displayed, but not selectable;73554900100700000756;N/A;
;;;retail account origination for banking;;;;(level 3);Primary and secondary;67837800100800006804;https://go.sap.com/community/tag.html?id=67837800100800006804;
;;SAP Accelerated Trade Promotion Planning;;;;;(level 2);Displayed, but not selectable;73554900100700000758;N/A;
;;;SAP Accelerated Trade Promotion Planning;;;;(level 3);Primary and secondary;67837800100800006904;https://go.sap.com/community/tag.html?id=67837800100800006904;
;;;SAP Accelerated Trade Promotion Planning, edition for Microsoft Excel;;;;(level 3);Primary and secondary;01200615320800003548;https://go.sap.com/community/tag.html?id=01200615320800003548;
;;;SAP Trade Promotion Planning, version for in-memory computing;;;;(level 3);Primary and secondary;01200314690800002008;https://go.sap.com/community/tag.html?id=01200314690800002008;
;;SAP Account Intelligence;;;;;(level 2);Displayed, but not selectable;73554900100700000761;N/A;
;;;SAP Account Intelligence for iPad;;;;(level 3);Primary and secondary;67837800100800006657;https://go.sap.com/community/tag.html?id=67837800100800006657;
;;SAP Anywhere;;;;;(level 2);Displayed, but not selectable;73554900100700000773;N/A;
;;;SAP Anywhere;;;;(level 3);Primary and secondary;67837800100800007156;https://go.sap.com/community/tag.html?id=67837800100800007156;
;;;SAP Anywhere for Android;;;;(level 3);Primary and secondary;67837800100800007209;https://go.sap.com/community/tag.html?id=67837800100800007209;
;;;SAP Anywhere for iOS;;;;(level 3);Primary and secondary;67837800100800007210;https://go.sap.com/community/tag.html?id=67837800100800007210;
;;;SAP Anywhere Show and Sell;;;;(level 3);Primary and secondary;73555000100800000127;https://go.sap.com/community/tag.html?id=73555000100800000127;
;;SAP Capital Markets Trading by Calypso;;;;;(level 2);Displayed, but not selectable;73555000100700000023;N/A;
;;;SAP Capital Markets Trading by Calypso;;;;(level 3);Primary and secondary;73555000100800000150;https://go.sap.com/community/tag.html?id=73555000100800000150;
;;SAP Capital Markets Treasury by Calypso;;;;;(level 2);Displayed, but not selectable;73555000100700000022;N/A;
;;;SAP Capital Markets Treasury by Calypso;;;;(level 3);Primary and secondary;73555000100800000149;https://go.sap.com/community/tag.html?id=73555000100800000149;
;;SAP Citizen Connect;;;;;(level 2);Displayed, but not selectable;73554900100700000834;N/A;
;;;SAP Citizen Connect;;;;(level 3);Primary and secondary;01200615320800003831;https://go.sap.com/community/tag.html?id=01200615320800003831;
;;;SAP Citizen Connect for iPhone;;;;(level 3);Primary and secondary;01200615320800003844;https://go.sap.com/community/tag.html?id=01200615320800003844;
;;SAP Claims Management;;;;;(level 2);Displayed, but not selectable;73554900100700000835;N/A;
;;;SAP Claims Management;;;;(level 3);Primary and secondary;01200615320800000264;https://go.sap.com/community/tag.html?id=01200615320800000264;
;;;SAP Claims Management Property and Casualty for Insurance;;;;(level 3);Primary and secondary;01200615320800000714;https://go.sap.com/community/tag.html?id=01200615320800000714;
;;;SAP Claims Management, localization version;;;;(level 3);Primary and secondary;01200314690800002599;https://go.sap.com/community/tag.html?id=01200314690800002599;
;;SAP Clinical Task Tracker;;;;;(level 2);Displayed, but not selectable;73554900100700000837;N/A;
;;;SAP Clinical Task Tracker for Android;;;;(level 3);Primary and secondary;67837800100800005908;https://go.sap.com/community/tag.html?id=67837800100800005908;
;;;SAP Clinical Task Tracker for iOS;;;;(level 3);Primary and secondary;67838200100800005257;https://go.sap.com/community/tag.html?id=67838200100800005257;
;;SAP Collaborative E-Care Management;;;;;(level 2);Displayed, but not selectable;73554900100700000845;N/A;
;;;E-Care Data Connect;;;;(level 3);Primary and secondary;67837800100800005270;https://go.sap.com/community/tag.html?id=67837800100800005270;
;;;E-Care Plan Connect;;;;(level 3);Primary and secondary;01200314690800002237;https://go.sap.com/community/tag.html?id=01200314690800002237;
;;;SAP Collaborative E-Care Management;;;;(level 3);Primary and secondary;01200314690800000227;https://go.sap.com/community/tag.html?id=01200314690800000227;
;;SAP Condition Record Management by Vistex;;;;;(level 2);Displayed, but not selectable;73554900100700000858;N/A;
;;;SAP Condition Record Management by Vistex;;;;(level 3);Primary and secondary;01200615320800000694;https://go.sap.com/community/tag.html?id=01200615320800000694;
;;SAP Configure, Price, and Quote;;;;;(level 2);Displayed, but not selectable;73554900100700000860;N/A;
;;;SAP Configure, Price, and Quote for product configuration;;;;(level 3);Primary and secondary;73554900100800000146;https://go.sap.com/community/tag.html?id=73554900100800000146;
;;;SAP Configure, Price, and Quote for solution sales configuration;;;;(level 3);Primary and secondary;01200615320800003315;https://go.sap.com/community/tag.html?id=01200615320800003315;
;;;SAP Configure, Price, and Quote for solution sales configuration, UI composer add-on;;;;(level 3);Primary and secondary;73555000100800000348;https://go.sap.com/community/tag.html?id=73555000100800000348;
;;SAP Consumer Insight 365;;;;;(level 2);Displayed, but not selectable;73554900100700000863;N/A;
;;;SAP Consumer Insight 365;;;;(level 3);Primary and secondary;67838200100800006705;https://go.sap.com/community/tag.html?id=67838200100800006705;
;;SAP Contact Center;;;;;(level 2);Displayed, but not selectable;73554900100700000864;N/A;
;;;SAP Contact Center, cloud edition;;;;(level 3);Primary and secondary;67838200100800006816;https://go.sap.com/community/tag.html?id=67838200100800006816;
;;;SAP Contact Center, on-premise edition;;;;(level 3);Primary and secondary;01200615320800000732;https://go.sap.com/community/tag.html?id=01200615320800000732;
;;SAP Convergent Pricing Simulation;;;;;(level 2);Displayed, but not selectable;73554900100700000868;N/A;
;;;SAP Convergent Pricing Simulation;;;;(level 3);Primary and secondary;67837800100800007087;https://go.sap.com/community/tag.html?id=67837800100800007087;
;;SAP Cost and Quotation Management;;;;;(level 2);Displayed, but not selectable;73555000100700000067;N/A;
;;;SAP xApp Cost and Quotation Management;;;;(level 3);Primary and secondary;01200314690800000126;https://go.sap.com/community/tag.html?id=01200314690800000126;
;;SAP CRM Sales;;;;;(level 2);Displayed, but not selectable;73554900100700000873;N/A;
;;;SAP CRM Sales for Android;;;;(level 3);Primary and secondary;01200314690800003771;https://go.sap.com/community/tag.html?id=01200314690800003771;
;;;SAP CRM Sales for B2B for iOS;;;;(level 3);Primary and secondary;67838200100800006044;https://go.sap.com/community/tag.html?id=67838200100800006044;
;;;SAP CRM Sales for BlackBerry;;;;(level 3);Primary and secondary;01200314690800003770;https://go.sap.com/community/tag.html?id=01200314690800003770;
;;;SAP CRM Sales for iOS;;;;(level 3);Primary and secondary;01200314690800003768;https://go.sap.com/community/tag.html?id=01200314690800003768;
;;;SAP CRM Sales for iPad;;;;(level 3);Primary and secondary;01200314690800002337;https://go.sap.com/community/tag.html?id=01200314690800002337;
;;;SAP CRM Sales for Windows;;;;(level 3);Primary and secondary;01200314690800003769;https://go.sap.com/community/tag.html?id=01200314690800003769;
;;;SAP CRM Sales integration with SAP CRM;;;;(level 3);Primary and secondary;01200314690800003772;https://go.sap.com/community/tag.html?id=01200314690800003772;
;;;SAP CRM Sales integration with SAP ERP;;;;(level 3);Primary and secondary;01200314690800003773;https://go.sap.com/community/tag.html?id=01200314690800003773;
;;SAP CRM Service Manager;;;;;(level 2);Displayed, but not selectable;73554900100700000874;N/A;
;;;SAP CRM Service Manager;;;;(level 3);Primary and secondary;67837800100800006431;https://go.sap.com/community/tag.html?id=67837800100800006431;
;;;SAP CRM Service Manager by Syclo;;;;(level 3);Primary and secondary;67838200100800004913;https://go.sap.com/community/tag.html?id=67838200100800004913;
;;;SAP CRM Service Manager for Android;;;;(level 3);Primary and secondary;67837800100800007108;https://go.sap.com/community/tag.html?id=67837800100800007108;
;;;SAP CRM Service Manager for iOS;;;;(level 3);Primary and secondary;67837800100800007107;https://go.sap.com/community/tag.html?id=67837800100800007107;
;;;SAP CRM Service Manager for Windows Mobile;;;;(level 3);Primary and secondary;67837800100800007109;https://go.sap.com/community/tag.html?id=67837800100800007109;
;;;SAP CRM Service Manager for Windows tablets;;;;(level 3);Primary and secondary;67837800100800007110;https://go.sap.com/community/tag.html?id=67837800100800007110;
;;SAP Cross Channel Order Management for Retail;;;;;(level 2);Displayed, but not selectable;73554900100700000875;N/A;
;;;SAP Cross-Channel Order Management for Retail;;;;(level 3);Primary and secondary;67837800100800005966;https://go.sap.com/community/tag.html?id=67837800100800005966;
;;SAP Customer Activity Repository;;;;;(level 2);Displayed, but not selectable;73554900100700000880;N/A;
;;;SAP Customer Activity Repository;;;;(level 3);Primary and secondary;67837800100800005767;https://go.sap.com/community/tag.html?id=67837800100800005767;
;;;SAP Customer Activity Repository, retail applications bundle;;;;(level 3);Primary and secondary;67837800100800007237;https://go.sap.com/community/tag.html?id=67837800100800007237;
;;;SAP Customer Activity Repository, unified demand forecast component;;;;(level 3);Primary and secondary;67837800100800005796;https://go.sap.com/community/tag.html?id=67837800100800005796;
;;SAP Customer Analysis and Retention for Telecommunications;;;;;(level 2);Displayed, but not selectable;73554900100700000881;N/A;
;;;SAP Customer Analysis and Retention for Telecommunications;;;;(level 3);Primary and secondary;01200615320800002966;https://go.sap.com/community/tag.html?id=01200615320800002966;
;;SAP Customer Analytics for Retail;;;;;(level 2);Displayed, but not selectable;73554900100700000882;N/A;
;;;SAP Customer Analytics for Retail;;;;(level 3);Primary and secondary;01200314690800000169;https://go.sap.com/community/tag.html?id=01200314690800000169;
;;SAP Customer and Contacts;;;;;(level 2);Displayed, but not selectable;73554900100700000883;N/A;
;;;SAP Customer and Contacts;;;;(level 3);Primary and secondary;01200615320800003659;https://go.sap.com/community/tag.html?id=01200615320800003659;
;;;SAP Customer and Contacts for iPhone;;;;(level 3);Primary and secondary;01200615320800004027;https://go.sap.com/community/tag.html?id=01200615320800004027;
;;SAP Customer Briefing;;;;;(level 2);Displayed, but not selectable;73554900100700000884;N/A;
;;;SAP Customer Briefing;;;;(level 3);Primary and secondary;67837800100800004436;https://go.sap.com/community/tag.html?id=67837800100800004436;
;;;SAP Customer Briefing for Android;;;;(level 3);Primary and secondary;67837800100800006794;https://go.sap.com/community/tag.html?id=67837800100800006794;
;;;SAP Customer Briefing for iPad;;;;(level 3);Primary and secondary;67837800100800004428;https://go.sap.com/community/tag.html?id=67837800100800004428;
;;SAP Customer Business Planning;;;;;(level 2);Displayed, but not selectable;73555000100700000082;N/A;
;;;SAP Customer Business Planning;;;;(level 3);Primary and secondary;73554900100800000318;https://go.sap.com/community/tag.html?id=73554900100800000318;
;;SAP Customer Checkout;;;;;(level 2);Displayed, but not selectable;73554900100700000885;N/A;
;;;SAP Customer Checkout;;;;(level 3);Primary and secondary;67838200100800006251;https://go.sap.com/community/tag.html?id=67838200100800006251;
;;SAP Customer Loyalty;;;;;(level 2);Displayed, but not selectable;73554900100700000891;N/A;
;;;SAP Customer Loyalty;;;;(level 3);Primary and secondary;67838200100800005450;https://go.sap.com/community/tag.html?id=67838200100800005450;
;;;SAP Customer Loyalty for Android;;;;(level 3);Primary and secondary;67838200100800005419;https://go.sap.com/community/tag.html?id=67838200100800005419;
;;;SAP Customer Loyalty for iOS;;;;(level 3);Primary and secondary;67837800100800006349;https://go.sap.com/community/tag.html?id=67837800100800006349;
;;SAP Customer Relationship Management;;;;;(level 2);Displayed, but not selectable;73554900100700000892;N/A;
;;;add-on for mobile integration with SAP CRM;;;;(level 3);Primary and secondary;67838200100800006478;https://go.sap.com/community/tag.html?id=67838200100800006478;
;;;add-on for vehicle stock management with SAP CRM;;;;(level 3);Primary and secondary;01200615320800000896;https://go.sap.com/community/tag.html?id=01200615320800000896;
;;;Desktop Connection for SAP CRM;;;;(level 3);Primary and secondary;67838200100800006202;https://go.sap.com/community/tag.html?id=67838200100800006202;
;;;Desktop Connection for SAP CRM, enterprise edition;;;;(level 3);Primary and secondary;67838200100800006667;https://go.sap.com/community/tag.html?id=67838200100800006667;
;;;ProactivePortal Server;;;;(level 3);Primary and secondary;01200615320800000607;https://go.sap.com/community/tag.html?id=01200615320800000607;
;;;SAP CRM on-demand solution;;;;(level 3);Primary and secondary;01200314690800000159;https://go.sap.com/community/tag.html?id=01200314690800000159;
;;;SAP CRM, GWI client plug-in;;;;(level 3);Primary and secondary;01200314690800002597;https://go.sap.com/community/tag.html?id=01200314690800002597;
;;;SAP Customer Relationship Management;;;;(level 3);Primary and secondary;01200615320800000556;https://go.sap.com/community/tag.html?id=01200615320800000556;
;;;SAP Customer Relationship Management 2006s;;;;(level 3);Primary and secondary;01200314690800000190;https://go.sap.com/community/tag.html?id=01200314690800000190;
;;;SAP Customer Relationship Management, add-on for service industries;;;;(level 3);Primary and secondary;01200314690800000129;https://go.sap.com/community/tag.html?id=01200314690800000129;
;;;SAP enhancement package for SAP CRM;;;;(level 3);Primary and secondary;01200314690800000700;https://go.sap.com/community/tag.html?id=01200314690800000700;
;;;SAP enhancement package for SAP CRM, version for SAP HANA;;;;(level 3);Primary and secondary;67838200100800004845;https://go.sap.com/community/tag.html?id=67838200100800004845;
;;;search and classification engine (TREX) for SAP CRM;;;;(level 3);Primary and secondary;01200314690800000133;https://go.sap.com/community/tag.html?id=01200314690800000133;
;;SAP Customer View;;;;;(level 2);Displayed, but not selectable;73554900100700000893;N/A;
;;;SAP Customer View;;;;(level 3);Primary and secondary;01200615320800003394;https://go.sap.com/community/tag.html?id=01200615320800003394;
;;;SAP Customer View for Android;;;;(level 3);Primary and secondary;67837800100800006497;https://go.sap.com/community/tag.html?id=67837800100800006497;
;;;SAP Customer View for iPad;;;;(level 3);Primary and secondary;67838200100800004948;https://go.sap.com/community/tag.html?id=67838200100800004948;
;;;SAP Customer View for iPhone;;;;(level 3);Primary and secondary;67837800100800006498;https://go.sap.com/community/tag.html?id=67837800100800006498;
;;SAP Dealer Business Management;;;;;(level 2);Displayed, but not selectable;73554900100700000905;N/A;
;;;SAP Dealer Business Management;;;;(level 3);Primary and secondary;01200314690800000145;https://go.sap.com/community/tag.html?id=01200314690800000145;
;;;SAP Dealer Business Management, add-on for China;;;;(level 3);Primary and secondary;73554900100800000763;https://go.sap.com/community/tag.html?id=73554900100800000763;
;;SAP E-Commerce;;;;;(level 2);Displayed, but not selectable;73554900100700000922;N/A;
;;;SAP E-Commerce for SAP Business One;;;;(level 3);Primary and secondary;01200615320800000595;https://go.sap.com/community/tag.html?id=01200615320800000595;
;;;SAP E-Commerce for SAP R/3;;;;(level 3);Primary and secondary;01200615320800000653;https://go.sap.com/community/tag.html?id=01200615320800000653;
;;SAP EMR Unwired;;;;;(level 2);Displayed, but not selectable;73554900100700000929;N/A;
;;;SAP Electronic Medical Record;;;;(level 3);Primary and secondary;01200314690800002598;https://go.sap.com/community/tag.html?id=01200314690800002598;
;;;SAP EMR Unwired for Android;;;;(level 3);Primary and secondary;67837800100800004466;https://go.sap.com/community/tag.html?id=67837800100800004466;
;;;SAP EMR Unwired for iOS;;;;(level 3);Primary and secondary;67837800100800005164;https://go.sap.com/community/tag.html?id=67837800100800005164;
;;;SAP EMR Unwired for Windows;;;;(level 3);Primary and secondary;67838200100800005777;https://go.sap.com/community/tag.html?id=67838200100800005777;
;;SAP Enterprise Point-of-Sale;;;;;(level 2);Displayed, but not selectable;73554900100700000940;N/A;
;;;SAP Enterprise Point-of-Sale;;;;(level 3);Primary and secondary;01200615320800000734;https://go.sap.com/community/tag.html?id=01200615320800000734;
;;;SAP Enterprise Point-of-Sale Base;;;;(level 3);Primary and secondary;01200615320800000735;https://go.sap.com/community/tag.html?id=01200615320800000735;
;;;SAP Transactionware Enterprise;;;;(level 3);Primary and secondary;01200314690800000165;https://go.sap.com/community/tag.html?id=01200314690800000165;
;;;SAP Transactionware General Merchandise;;;;(level 3);Primary and secondary;01200314690800000163;https://go.sap.com/community/tag.html?id=01200314690800000163;
;;SAP Enterprise Store;;;;;(level 2);Displayed, but not selectable;73554900100700000945;N/A;
;;;SAP Enterprise Store, next generation;;;;(level 3);Primary and secondary;67837800100800007292;https://go.sap.com/community/tag.html?id=67837800100800007292;
;;SAP ERP Customer Order Entry;;;;;(level 2);Displayed, but not selectable;73554900100700000952;N/A;
;;;SAP ERP Customer Order Entry;;;;(level 3);Primary and secondary;67837800100800004490;https://go.sap.com/community/tag.html?id=67837800100800004490;
;;;SAP ERP Customer Order Entry for iPhone;;;;(level 3);Primary and secondary;67837800100800004881;https://go.sap.com/community/tag.html?id=67837800100800004881;
;;SAP ERP Order Status;;;;;(level 2);Displayed, but not selectable;73554900100700000953;N/A;
;;;SAP ERP Order Status;;;;(level 3);Primary and secondary;01200615320800003644;https://go.sap.com/community/tag.html?id=01200615320800003644;
;;;SAP ERP Order Status for iPhone;;;;(level 3);Primary and secondary;01200615320800003836;https://go.sap.com/community/tag.html?id=01200615320800003836;
;;SAP Event Ticketing;;;;;(level 2);Displayed, but not selectable;73554900100700000958;N/A;
;;;SAP Event Ticketing client tools;;;;(level 3);Primary and secondary;73555000100800000174;https://go.sap.com/community/tag.html?id=73555000100800000174;
;;;SAP Event Ticketing, cloud edition;;;;(level 3);Primary and secondary;67838200100800006143;https://go.sap.com/community/tag.html?id=67838200100800006143;
;;;SAP Event Ticketing, on-premise edition;;;;(level 3);Primary and secondary;67838200100800006227;https://go.sap.com/community/tag.html?id=67838200100800006227;
;;SAP Fan Experience;;;;;(level 2);Displayed, but not selectable;73554900100700000965;N/A;
;;;SAP Fan Experience;;;;(level 3);Primary and secondary;67837800100800006687;https://go.sap.com/community/tag.html?id=67837800100800006687;
;;SAP Field Service;;;;;(level 2);Displayed, but not selectable;73554900100700000968;N/A;
;;;SAP Field Service;;;;(level 3);Primary and secondary;01200314690800002418;https://go.sap.com/community/tag.html?id=01200314690800002418;
;;;SAP Field Service for Windows Mobile;;;;(level 3);Primary and secondary;67837800100800004277;https://go.sap.com/community/tag.html?id=67837800100800004277;
;;;SAP Field Service integration with SAP CRM;;;;(level 3);Primary and secondary;67837800100800004278;https://go.sap.com/community/tag.html?id=67837800100800004278;
;;;SAP Field Service integration with SAP ERP;;;;(level 3);Primary and secondary;67837800100800004279;https://go.sap.com/community/tag.html?id=67837800100800004279;
;;SAP Ganges;;;;;(level 2);Displayed, but not selectable;73554900100700000988;N/A;
;;;SAP Ganges mobile app;;;;(level 3);Primary and secondary;67837800100800006458;https://go.sap.com/community/tag.html?id=67837800100800006458;
;;;SAP Ganges, cloud edition;;;;(level 3);Primary and secondary;67837800100800006457;https://go.sap.com/community/tag.html?id=67837800100800006457;
;;SAP Health Engagement;;;;;(level 2);Displayed, but not selectable;73555000100700000127;N/A;
;;;SAP Health Engagement mobile app SDK;;;;(level 3);Primary and secondary;73554900100800000392;https://go.sap.com/community/tag.html?id=73554900100800000392;
;;SAP Health Link;;;;;(level 2);Displayed, but not selectable;73554900100700000861;N/A;
;;;SAP Health Link;;;;(level 3);Primary and secondary;67838200100800006658;https://go.sap.com/community/tag.html?id=67838200100800006658;
;;;SAP Health Link for Android;;;;(level 3);Primary and secondary;67837800100800007364;https://go.sap.com/community/tag.html?id=67837800100800007364;
;;;SAP Health Link for iOS;;;;(level 3);Primary and secondary;67837800100800007362;https://go.sap.com/community/tag.html?id=67837800100800007362;
;;;SAP Health Link mobile app for Android;;;;(level 3);Primary and secondary;73554900100800000242;N/A;
;;SAP Hybris Cloud for Customer;;;;;(level 2);Displayed, but not selectable;73554900100700000840;N/A;
;;;SAP Digital CRM;;;;(level 3);Primary and secondary;73555000100800000192;https://go.sap.com/community/tag.html?id=73555000100800000192;
;;;SAP Digital for Customer Engagement for iPad;;;;(level 3);Primary and secondary;73555000100800000205;https://go.sap.com/community/tag.html?id=73555000100800000205;
;;;SAP Digital for Customer Engagement mobile app;;;;(level 3);Primary and secondary;73555000100800000206;https://go.sap.com/community/tag.html?id=73555000100800000206;
;;;SAP Hybris Cloud for Customer;;;;(level 3);Primary and secondary;01200615320800003136;https://go.sap.com/community/tag.html?id=01200615320800003136;
;;;SAP Hybris Cloud for Customer for iPad;;;;(level 3);Primary and secondary;01200615320800003322;https://go.sap.com/community/tag.html?id=01200615320800003322;
;;;SAP Hybris Cloud for Customer for Windows, extended edition, source code shipment;;;;(level 3);Primary and secondary;73555000100800000252;https://go.sap.com/community/tag.html?id=73555000100800000252;
;;;SAP Hybris Cloud for Customer integration with SAP CRM;;;;(level 3);Primary and secondary;67837800100800007129;https://go.sap.com/community/tag.html?id=67837800100800007129;
;;;SAP Hybris Cloud for Customer integration with SAP ERP;;;;(level 3);Primary and secondary;01200314690800002079;https://go.sap.com/community/tag.html?id=01200314690800002079;
;;;SAP Hybris Cloud for Customer integration with SAP Hybris Marketing;;;;(level 3);Primary and secondary;73554900100800000333;https://go.sap.com/community/tag.html?id=73554900100800000333;
;;;SAP Hybris Cloud for Customer integration with SAP S/4HANA;;;;(level 3);Primary and secondary;73554900100800000383;https://go.sap.com/community/tag.html?id=73554900100800000383;
;;;SAP Hybris Cloud for Customer mobile app;;;;(level 3);Primary and secondary;01200615320800003321;https://go.sap.com/community/tag.html?id=01200615320800003321;
;;;SAP Hybris Cloud for Customer mobile app, extended edition;;;;(level 3);Primary and secondary;73555000100800000087;https://go.sap.com/community/tag.html?id=73555000100800000087;
;;;SAP Hybris Cloud for Customer, Edge edition;;;;(level 3);Primary and secondary;73554900100800000401;https://go.sap.com/community/tag.html?id=73554900100800000401;
;;SAP Hybris Commerce;;;;;(level 2);Displayed, but not selectable;73554900100700001002;N/A;
;;;SAP Hybris Commerce;;;;(level 3);Primary and secondary;67837800100800007216;https://go.sap.com/community/tag.html?id=67837800100800007216;
;;;SAP Hybris Commerce integration with SAP CRM;;;;(level 3);Primary and secondary;73555000100800000295;https://go.sap.com/community/tag.html?id=73555000100800000295;
;;;SAP Hybris Commerce, data hub;;;;(level 3);Primary and secondary;73554900100800000416;https://go.sap.com/community/tag.html?id=73554900100800000416;
;;;SAP Hybris Commerce, integration package for SAP for Retail;;;;(level 3);Primary and secondary;73554900100800000363;https://go.sap.com/community/tag.html?id=73554900100800000363;
;;;SAP Hybris Commerce, localization for China;;;;(level 3);Primary and secondary;73554900100800000365;https://go.sap.com/community/tag.html?id=73554900100800000365;
;;;SAP Hybris Commerce, travel accelerator;;;;(level 3);Primary and secondary;73554900100800000531;https://go.sap.com/community/tag.html?id=73554900100800000531;
;;SAP Hybris Customer Insight;;;;;(level 2);Displayed, but not selectable;73554900100700000889;N/A;
;;;SAP Hybris Customer Insight for iPad;;;;(level 3);Primary and secondary;67837800100800005997;https://go.sap.com/community/tag.html?id=67837800100800005997;
;;SAP Hybris Knowledge Central by MindTouch;;;;;(level 2);Displayed, but not selectable;73554900100700001035;N/A;
;;;SAP Hybris Knowledge Central by MindTouch;;;;(level 3);Primary and secondary;67837800100800007293;https://go.sap.com/community/tag.html?id=67837800100800007293;
;;SAP Hybris Marketing;;;;;(level 2);Displayed, but not selectable;73554900100700001322;N/A;
;;;SAP Hybris Marketing;;;;(level 3);Primary and secondary;01200615320800003850;https://go.sap.com/community/tag.html?id=01200615320800003850;
;;;SAP Hybris Marketing, loyalty option;;;;(level 3);Primary and secondary;73554900100800000281;https://go.sap.com/community/tag.html?id=73554900100800000281;
;;SAP Hybris Merchandising;;;;;(level 2);Displayed, but not selectable;73555000100700000103;N/A;
;;;SAP Hybris Merchandising;;;;(level 3);Primary and secondary;73554900100800000414;https://go.sap.com/community/tag.html?id=73554900100800000414;
;;SAP Incentive Administration by Vistex and SAP Paybacks and Chargebacks by Vistex;;;;;(level 2);Displayed, but not selectable;73554900100700001006;N/A;
;;;SAP Incentive Administration by Vistex and SAP Paybacks and Chargebacks by Vistex;;;;(level 3);Primary and secondary;01200314690800000206;https://go.sap.com/community/tag.html?id=01200314690800000206;
;;SAP Margin Analysis by Vendavo;;;;;(level 2);Displayed, but not selectable;73554900100700001055;N/A;
;;;SAP Margin Analysis by Vendavo;;;;(level 3);Primary and secondary;01200615320800001446;https://go.sap.com/community/tag.html?id=01200615320800001446;
;;SAP Mobile Sales;;;;;(level 2);Displayed, but not selectable;73554900100700001073;N/A;
;;;SAP Mobile Sales (with SAP R/3) for SAP NetWeaver;;;;(level 3);Primary and secondary;01200615320800000629;https://go.sap.com/community/tag.html?id=01200615320800000629;
;;;SAP Mobile Sales, handheld version for SAP NetWeaver;;;;(level 3);Primary and secondary;01200314690800000139;https://go.sap.com/community/tag.html?id=01200314690800000139;
;;;SAP Mobile Sales, online version for SAP NetWeaver;;;;(level 3);Primary and secondary;01200615320800000660;https://go.sap.com/community/tag.html?id=01200615320800000660;
;;SAP Multichannel Foundation for Utilities and Public Sector;;;;;(level 2);Displayed, but not selectable;73554900100700001078;N/A;
